course,player,SG Category,SG Value
"Muirfield Village Golf Club - Dublin, OH",Francesco Molinari,OTT,-0.51
"Muirfield Village Golf Club - Dublin, OH",Garrick Higgo,OTT,0.1
"Muirfield Village Golf Club - Dublin, OH",Joel Dahmen,OTT,0.42
"Muirfield Village Golf Club - Dublin, OH",Jason Day,OTT,0.13
"Muirfield Village Golf Club - Dublin, OH",Joaquin Niemann,OTT,1.18
"Muirfield Village Golf Club - Dublin, OH",J.T. Poston,OTT,-0.3
"Muirfield Village Golf Club - Dublin, OH",Jon Rahm,OTT,-0.51
"Muirfield Village Golf Club - Dublin, OH",Jordan Spieth,OTT,0.37
"Muirfield Village Golf Club - Dublin, OH",Jhonattan Vegas,OTT,0.3
"Muirfield Village Golf Club - Dublin, OH",Keegan Bradley,OTT,0.2
"Muirfield Village Golf Club - Dublin, OH",Kramer Hickok,OTT,0.05
"Muirfield Village Golf Club - Dublin, OH",Kyoung-Hoon Lee,OTT,-0.19
"Muirfield Village Golf Club - Dublin, OH",Keith Mitchell,OTT,0.52
"Muirfield Village Golf Club - Dublin, OH",Lucas Glover,OTT,0.29
"Muirfield Village Golf Club - Dublin, OH",Lanto Griffin,OTT,-0.87
"Muirfield Village Golf Club - Dublin, OH",Lucas Herbert,OTT,-0.3
"Muirfield Village Golf Club - Dublin, OH",Luke List,OTT,-0.17
"Muirfield Village Golf Club - Dublin, OH",Max Homa,OTT,0.11
"Muirfield Village Golf Club - Dublin, OH",Mackenzie Hughes,OTT,-1.07
"Muirfield Village Golf Club - Dublin, OH",Matt Kuchar,OTT,-0.51
"Muirfield Village Golf Club - Dublin, OH",Martin Laird,OTT,-0.03
"Muirfield Village Golf Club - Dublin, OH",Matthew NeSmith,OTT,0.11
"Muirfield Village Golf Club - Dublin, OH",Mito Pereira,OTT,0.84
"Muirfield Village Golf Club - Dublin, OH",Patrick Cantlay,OTT,0.7
"Muirfield Village Golf Club - Dublin, OH",Pat Perez,OTT,-0.45
"Muirfield Village Golf Club - Dublin, OH",Patrick Reed,OTT,-0.13
"Muirfield Village Golf Club - Dublin, OH",Rickie Fowler,OTT,0.16
"Muirfield Village Golf Club - Dublin, OH",Ryan Moore,OTT,-0.78
"Muirfield Village Golf Club - Dublin, OH",Sungjae Im,OTT,0.66
"Muirfield Village Golf Club - Dublin, OH",Si Woo Kim,OTT,0.46
"Muirfield Village Golf Club - Dublin, OH",Shane Lowry,OTT,-0.15
"Muirfield Village Golf Club - Dublin, OH",Sepp Straka,OTT,0.06
"Muirfield Village Golf Club - Dublin, OH",Sahith Theegala,OTT,0.65
"Muirfield Village Golf Club - Dublin, OH",Troy Merritt,OTT,-0.03
"Muirfield Village Golf Club - Dublin, OH",Viktor Hovland,OTT,0.1
"Muirfield Village Golf Club - Dublin, OH",Wyndham Clark,OTT,-0.54
"Muirfield Village Golf Club - Dublin, OH",Will Zalatoris,OTT,1.16
"Muirfield Village Golf Club - Dublin, OH",Xander Schauffele,OTT,-0.63
"Colonial - Ft. Worth, TX",Adam Long,OTT,-0.33
"Colonial - Ft. Worth, TX",Andrew Putnam,OTT,-0.34
"Colonial - Ft. Worth, TX",Aaron Rai,OTT,-0.39
